timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-05-10,7.15,7.3,6.65,6.69,6.69,1149099,0.0,1.0
2022-05-11,6.69,7.11,6.69,6.75,6.75,1161157,0.0,1.0
2022-05-12,6.72,6.79,6.37,6.64,6.64,1368773,0.0,1.0
2022-05-13,6.64,7.19,6.64,7.06,7.06,1156214,0.0,1.0
2022-05-16,7.06,7.5,6.925,7.25,7.25,1664611,0.0,1.0
2022-05-17,7.3,7.72,7.25,7.68,7.68,1345772,0.0,1.0
2022-05-18,7.61,7.6742,7.17,7.4,7.4,977948,0.0,1.0
2022-05-19,7.28,7.505,7.2,7.32,7.32,836783,0.0,1.0
2022-05-20,7.35,7.46,7.0,7.19,7.19,869428,0.0,1.0
2022-05-23,7.42,7.48,7.25,7.4,7.4,1528025,0.0,1.0
2022-05-24,7.34,7.39,7.05,7.28,7.28,1332141,0.0,1.0
2022-05-25,7.34,7.64,7.22,7.56,7.56,1622860,0.0,1.0
2022-05-26,7.64,8.05,7.41,7.97,7.97,4911673,0.0,1.0
2022-05-27,7.84,8.16,7.75,8.1,8.1,4748010,0.0,1.0
2022-05-31,8.23,8.45,7.91,7.96,7.96,2774951,0.0,1.0
2022-06-01,8.12,8.199,7.84,8.07,8.07,4097630,0.0,1.0
2022-06-02,8.08,8.08,7.8,7.9,7.9,2578663,0.0,1.0
2022-06-03,7.82,8.19,7.63,8.16,8.16,1614928,0.0,1.0
2022-06-06,8.45,8.92,8.245,8.71,8.71,4064731,0.0,1.0
2022-06-07,8.73,9.07,8.6,8.81,8.81,3007590,0.0,1.0
2022-06-08,8.88,9.9799,8.86,9.83,9.83,6212678,0.0,1.0
2022-06-09,9.73,9.73,9.26,9.27,9.27,2716621,0.0,1.0
2022-06-10,9.12,9.24,8.36,8.63,8.63,1768508,0.0,1.0
2022-06-13,8.28,8.41,7.92,7.98,7.98,2397225,0.0,1.0
2022-06-14,8.15,8.24,7.56,7.68,7.68,2978655,0.0,1.0
2022-06-15,7.65,8.07,7.65,7.85,7.85,2521789,0.0,1.0
2022-06-16,7.7,7.92,7.38,7.75,7.75,3015451,0.0,1.0
2022-06-17,7.65,7.96,7.41,7.55,7.55,8348752,0.0,1.0
2022-06-21,7.75,8.01,7.43,7.47,7.47,5735188,0.0,1.0
2022-06-22,7.12,7.25,6.82,7.1,7.1,6174985,0.0,1.0
2022-06-23,7.02,7.24,6.57,6.74,6.74,2931977,0.0,1.0
2022-06-24,6.77,7.12,6.52,6.54,6.54,15175023,0.0,1.0
2022-06-27,6.65,6.845,6.53,6.81,6.81,2110363,0.0,1.0
2022-06-28,7.0,7.18,6.69,6.71,6.71,2730662,0.0,1.0
2022-06-29,6.73,6.73,6.245,6.31,6.31,1784043,0.0,1.0
2022-06-30,6.14,6.235,5.855,5.89,5.89,2109265,0.0,1.0
2022-07-01,5.86,6.09,5.63,6.09,6.09,2127901,0.0,1.0
2022-07-05,5.98,5.99,5.41,5.72,5.72,2365271,0.0,1.0
2022-07-06,5.65,5.77,5.38,5.48,5.48,1277275,0.0,1.0
2022-07-07,5.6,5.975,5.5839,5.9,5.9,813550,0.0,1.0
2022-07-08,5.9,6.395,5.76,6.35,6.35,1593041,0.0,1.0
2022-07-11,6.0,6.32,6.0,6.1,6.1,1345791,0.0,1.0
2022-07-12,6.01,6.1,5.615,5.65,5.65,927000,0.0,1.0
2022-07-13,5.53,5.71,5.51,5.6,5.6,1106104,0.0,1.0
2022-07-14,5.49,5.53,5.17,5.35,5.35,1140325,0.0,1.0
2022-07-15,5.53,5.61,5.37,5.61,5.61,1337026,0.0,1.0
2022-07-18,5.68,5.925,5.66,5.7,5.7,787381,0.0,1.0
2022-07-19,5.75,5.95,5.715,5.94,5.94,591307,0.0,1.0
2022-07-20,5.85,5.93,5.68,5.91,5.91,579128,0.0,1.0
2022-07-21,5.75,5.79,5.43,5.59,5.59,886722,0.0,1.0
2022-07-22,5.58,5.71,5.395,5.41,5.41,1245980,0.0,1.0
2022-07-25,5.47,5.88,5.4,5.88,5.88,809866,0.0,1.0
2022-07-26,5.98,6.06,5.77,5.99,5.99,732126,0.0,1.0
2022-07-27,6.04,6.6808,5.98,6.64,6.64,1653168,0.0,1.0
2022-07-28,6.76,6.79,6.45,6.54,6.54,698388,0.0,1.0
2022-07-29,6.7,6.79,6.5,6.75,6.75,941305,0.0,1.0
2022-08-01,6.64,6.725,6.48,6.66,6.66,690601,0.0,1.0
2022-08-02,6.7,7.38,6.7,7.31,7.31,2656271,0.0,1.0
2022-08-03,7.3,7.3,6.62,6.72,6.72,1253690,0.0,1.0
2022-08-04,6.61,6.81,6.4,6.4,6.4,568463,0.0,1.0
2022-08-05,6.32,6.88,6.29,6.71,6.71,521827,0.0,1.0
2022-08-08,6.68,6.84,6.485,6.63,6.63,790949,0.0,1.0
2022-08-09,6.75,6.93,6.71,6.79,6.79,972491,0.0,1.0
2022-08-10,6.85,7.0,6.7614,6.99,6.99,1205916,0.0,1.0
2022-08-11,7.13,7.242,6.798,7.05,7.05,1738746,0.0,1.0
2022-08-12,7.03,7.445,7.02,7.28,7.28,989177,0.0,1.0
2022-08-15,6.95,6.97,6.5313,6.9,6.9,1015969,0.0,1.0
2022-08-16,6.93,7.06,6.81,6.94,6.94,495437,0.0,1.0
2022-08-17,6.83,6.97,6.7,6.89,6.89,500995,0.0,1.0
2022-08-18,7.05,7.54,7.0,7.42,7.42,1602541,0.0,1.0
2022-08-19,7.36,7.55,7.17,7.31,7.31,1086553,0.0,1.0
2022-08-22,7.19,7.3,6.93,7.15,7.15,771616,0.0,1.0
2022-08-23,7.34,7.57,7.22,7.27,7.27,816317,0.0,1.0
2022-08-24,7.3,7.47,7.13,7.29,7.29,1026059,0.0,1.0
2022-08-25,7.3,7.455,7.235,7.37,7.37,1097097,0.0,1.0
2022-08-26,7.34,7.52,7.155,7.22,7.22,765823,0.0,1.0
2022-08-29,7.11,7.55,7.09,7.37,7.37,1081515,0.0,1.0
2022-08-30,7.25,7.285,6.8,6.9,6.9,1136433,0.0,1.0
2022-08-31,6.8,7.29,6.66,7.11,7.11,1287176,0.0,1.0
2022-09-01,7.0,7.02,6.8,6.94,6.94,704255,0.0,1.0
2022-09-02,7.15,7.495,7.05,7.37,7.37,1208240,0.0,1.0
2022-09-06,7.52,7.54,6.97,6.99,6.99,637687,0.0,1.0
2022-09-07,6.8,7.1,6.71,7.01,7.01,864272,0.0,1.0
2022-09-08,7.0,7.52,6.94,7.4,7.4,819339,0.0,1.0
2022-09-09,7.59,7.8,7.47,7.71,7.71,897051,0.0,1.0
2022-09-12,7.83,8.04,7.78,8.03,8.03,1052972,0.0,1.0
2022-09-13,7.78,8.17,7.78,7.93,7.93,1684265,0.0,1.0
2022-09-14,8.01,8.415,8.01,8.36,8.36,1483104,0.0,1.0
2022-09-15,8.19,8.4396,8.14,8.32,8.32,1239075,0.0,1.0
2022-09-16,8.18,8.23,7.47,7.6,7.6,3533757,0.0,1.0
2022-09-19,7.28,7.55,7.27,7.43,7.43,818959,0.0,1.0
2022-09-20,7.29,7.4,7.04,7.17,7.17,994704,0.0,1.0
2022-09-21,7.36,7.48,6.96,6.98,6.98,969503,0.0,1.0
2022-09-22,7.04,7.3,6.71,6.73,6.73,1080717,0.0,1.0
2022-09-23,6.45,6.47,6.14,6.33,6.33,1529414,0.0,1.0
2022-09-26,6.27,6.52,6.12,6.25,6.25,858829,0.0,1.0
2022-09-27,6.41,6.7286,6.31,6.43,6.43,1100511,0.0,1.0
2022-09-28,6.54,7.045,6.44,7.02,7.02,913964,0.0,1.0
2022-09-29,6.93,6.93,6.72,6.92,6.92,756060,0.0,1.0
2022-09-30,6.86,7.135,6.6,6.63,6.63,1222152,0.0,1.0
2022-10-03,7.03,7.5,6.98,7.4,7.4,1091355,0.0,1.0
2022-10-04,7.65,7.7,7.41,7.61,7.61,864943,0.0,1.0
2022-10-05,7.54,7.745,7.455,7.73,7.73,698220,0.0,1.0
2022-10-06,7.68,8.075,7.66,7.94,7.94,753716,0.0,1.0
2022-10-07,7.93,8.14,7.81,7.91,7.91,743447,0.0,1.0
2022-10-10,7.89,8.05,7.65,7.94,7.94,689316,0.0,1.0
2022-10-11,7.74,8.07,7.63,7.91,7.91,491466,0.0,1.0
2022-10-12,7.85,8.05,7.76,7.91,7.91,586179,0.0,1.0
2022-10-13,7.79,8.2,7.77,8.1,8.1,1105885,0.0,1.0
2022-10-14,8.09,8.18,7.72,8.0,8.0,882842,0.0,1.0
2022-10-17,8.18,8.3,8.09,8.22,8.22,1975423,0.0,1.0
2022-10-18,8.33,8.46,8.18,8.3,8.3,2146338,0.0,1.0
2022-10-19,8.29,8.545,8.245,8.53,8.53,1643073,0.0,1.0
2022-10-20,8.65,8.96,8.36,8.47,8.47,1290227,0.0,1.0
2022-10-21,8.53,8.91,8.49,8.78,8.78,1140432,0.0,1.0
2022-10-24,8.79,9.05,8.67,9.04,9.04,1107860,0.0,1.0
2022-10-25,9.07,9.5,9.02,9.39,9.39,1147318,0.0,1.0
2022-10-26,9.5,9.75,9.26,9.44,9.44,991710,0.0,1.0
2022-10-27,9.65,9.84,9.285,9.38,9.38,1221557,0.0,1.0
2022-10-28,9.5,9.7,9.29,9.68,9.68,701036,0.0,1.0
2022-10-31,9.6,9.95,9.5365,9.85,9.85,1081558,0.0,1.0
2022-11-01,10.06,10.06,9.69,9.72,9.72,969686,0.0,1.0
2022-11-02,9.79,10.03,9.56,9.61,9.61,1135492,0.0,1.0
2022-11-03,9.64,10.01,9.47,9.97,9.97,1111327,0.0,1.0
2022-11-04,10.1,10.19,9.715,10.0,10.0,1665957,0.0,1.0
2022-11-07,10.1,10.15,9.79,10.13,10.13,1709660,0.0,1.0
2022-11-08,10.24,10.25,9.81,10.03,10.03,1213359,0.0,1.0
2022-11-09,9.94,10.01,9.36,9.41,9.41,1232643,0.0,1.0
2022-11-10,9.68,9.74,9.36,9.55,9.55,1057955,0.0,1.0
2022-11-11,9.75,10.01,9.74,9.9,9.9,1086771,0.0,1.0
2022-11-14,9.8,10.08,9.77,9.88,9.88,1034112,0.0,1.0
2022-11-15,9.87,10.105,9.7,10.01,10.01,1116015,0.0,1.0
2022-11-16,9.98,10.05,9.88,9.95,9.95,621170,0.0,1.0
2022-11-17,9.73,9.94,9.6,9.86,9.86,524672,0.0,1.0
2022-11-18,9.72,9.8,9.42,9.6,9.6,824449,0.0,1.0
2022-11-21,9.4,9.47,8.795,9.19,9.19,1191733,0.0,1.0
2022-11-22,9.35,9.67,9.28,9.57,9.57,860679,0.0,1.0
2022-11-23,9.37,9.59,9.23,9.5,9.5,858259,0.0,1.0
2022-11-25,9.47,9.64,9.33,9.41,9.41,363499,0.0,1.0
2022-11-28,9.08,9.335,8.92,9.07,9.07,881208,0.0,1.0
2022-11-29,9.19,9.5,9.05,9.18,9.18,1444035,0.0,1.0
2022-11-30,9.37,9.66,9.15,9.57,9.57,3539167,0.0,1.0
2022-12-01,9.65,9.9,9.64,9.8,9.8,1154171,0.0,1.0
2022-12-02,9.7,9.955,9.56,9.94,9.94,826480,0.0,1.0
2022-12-05,9.96,9.99,9.22,9.26,9.26,741642,0.0,1.0
2022-12-06,9.14,9.36,9.055,9.19,9.19,796479,0.0,1.0
2022-12-07,9.24,9.36,8.8,8.84,8.84,819002,0.0,1.0
2022-12-08,9.1,9.17,8.67,8.75,8.75,555729,0.0,1.0
2022-12-09,8.69,8.79,8.395,8.47,8.47,799399,0.0,1.0
2022-12-12,8.52,9.04,8.51,8.78,8.78,796151,0.0,1.0
2022-12-13,9.04,9.04,8.555,8.96,8.96,1226158,0.0,1.0
2022-12-14,9.09,9.13,8.77,8.86,8.86,497571,0.0,1.0
2022-12-15,8.76,8.94,8.61,8.73,8.73,538054,0.0,1.0
2022-12-16,8.45,8.65,8.42,8.62,8.62,1116945,0.0,1.0
2022-12-19,8.74,8.89,8.51,8.56,8.56,380410,0.0,1.0
2022-12-20,8.57,9.21,8.56,9.17,9.17,875567,0.0,1.0
2022-12-21,9.29,9.59,9.1,9.52,9.52,999127,0.0,1.0
2022-12-22,9.5,9.66,9.33,9.6,9.6,888359,0.0,1.0
2022-12-23,9.8,9.99,9.68,9.97,9.97,975806,0.0,1.0
2022-12-27,10.02,10.135,9.85,10.0,10.0,777078,0.0,1.0
2022-12-28,10.0,10.105,9.77,9.99,9.99,698287,0.0,1.0
2022-12-29,9.99,10.27,9.975,10.13,10.13,962482,0.0,1.0
2022-12-30,10.01,10.47,9.88,10.4,10.4,1441744,0.0,1.0
